,PLN-MM/YY,Sales_Doc.,Item,V,Loaded_line,New_Plan,Sold_to_party,Country_Key,Destination,Material,CUST_THICKNESS,CUST_WIDTH,KS_GRADE01,ZINC01,Remain_GRF,Destination.1,Creation,CBE$,BM$,Demanded_Month,Plan_Month,order_item_type
14290,202503,30099219,10,3009921910,CR,2025 April,ايجيترافو للصناعات الكهربائية,Egypt,Local,CRCF,1.2,1300.0,DC03,,10.0,High Tech industries,CPT,738.0,741.0,Mar,Apr,Small Item
14291,202504,30097059,20,3009705920,GI,2025 April,جيت كوول للاعمال التكميلية التخصيصي,Egypt,Local,GCCF,0.8,1250.0,DX51D,275,20.0,Service Center,EXW,884.0,887.0,Apr,Apr,Small Item
14292,202504,30097059,30,3009705930,GI,2025 April,جيت كوول للاعمال التكميلية التخصيصي,Egypt,Local,GCCF,1.25,1250.0,DX51D,275,20.0,Service Center,EXW,,841.0,Apr,Apr,Small Item
14293,202504,30097059,10,3009705910,GI,2025 April,جيت كوول للاعمال التكميلية التخصيصي,Egypt,Local,GCCF,0.7,1250.0,DX51D,275,20.0,Service Center,EXW,903.0,907.0,Apr,Apr,Small Item
14294,202503,30097654,180,30097654180,GI,2025 April,الهندسیة لانتاج الاجهزة,Egypt,Local,GCSF,1.2,1000.0,DX51D,60,10.0,Large Corporate,EXW,790.0,793.0,Mar,Apr,Small Item
14295,202503,30097654,30,3009765430,CR,2025 April,الهندسیة لانتاج الاجهزة,Egypt,Local,CRNF,0.5,625.0,DC01,,20.0,Large Corporate,EXW,722.0,725.0,Mar,Apr,Small Item
14296,202503,30097654,90,3009765490,CR,2025 April,الهندسیة لانتاج الاجهزة,Egypt,Local,CRRF,0.6,550.0,DC04EK,,29.93,Large Corporate,EXW,748.0,751.0,Mar,Apr,Small Item
14297,202504,30098281,80,3009828180,GI,2025 April,السویدى للصناعات الهندسیة سای,Egypt,Local,GHSF,2.0,1250.0,DX51D,60,6.0,High Tech industries,CPT,748.0,751.0,Apr,Apr,Small Item
14298,202504,30097054,20,3009705420,GI,2025 April,شركة الشرق لتشغيل المعادن,Egypt,Local,GHCF,1.5,1000.0,DX51D,60,20.0,Service Center,EXW,734.0,736.0,Apr,Apr,Small Item
14299,202504,30097054,30,3009705430,GI,2025 April,شركة الشرق لتشغيل المعادن,Egypt,Local,GHCF,1.5,1250.0,DX51D,60,40.0,Service Center,,723.0,725.0,Apr,Apr,Small Item
14300,202504,30097054,40,3009705440,GI,2025 April,شركة الشرق لتشغيل المعادن,Egypt,Local,GHCF,2.0,1000.0,DX51D,60,20.0,Service Center,EXW,728.0,731.0,Apr,Apr,Small Item
14301,202504,30097054,50,3009705450,GI,2025 April,شركة الشرق لتشغيل المعادن,Egypt,Local,GHCF,2.0,1250.0,DX51D,60,40.0,Service Center,EXW,717.0,,Apr,Apr,Small Item
